Responsable,"Referencia (Autores, titulo, revista/congreso, numero volumen)",Tipo (revista/congreso),Actividad,Publicado/Enviado,Enlace,Notas,Fecha subida,Fecha aceptación
Isaac,"Alkhulaifi, N., Dogan, I. G., Cargan, T. R., Bowler, A. L., Pekaslan, D., Watson, N. J., & Triguero, I. (2026). Decision-focused learning enhanced by automated feature engineering for energy storage optimisation. Expert Systems with Applications, 302, 130554 Volume 302,2026,130554, ISSN 0957-4174; https://doi.org/10.1016/j.eswa.2025.130554; (https://www.sciencedirect.com/science/article/pii/S0957417425041697)",Revista,A3.1:IAPG Fiable para instalaciones críticas,Publicado,https://www.sciencedirect.com/science/article/pii/S0957417425041697,,,15/03/2026
Isaac,"J. S Payne, G. Hopkins, S. N. Gowda, I. Triguero and M. P. Pound, ""A Case for the Use of Chroma Cartesian Colour Representations for Image Classification on Plant-Based Domains,"" 2025 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW), Honolulu, HI, USA, 2025, pp. 7187-7196, doi: 10.1109/ICCVW69036.2025.00741. ",Congreso,A2.4: Proporcionando robustez a modelos de deep learning,Publicado,https://openaccess.thecvf.com/content/ICCV2025W/CVPPA/html/Payne_A_Case_for_the_Use_of_Chroma_Cartesian_Colour_Representations_ICCVW_2025_paper.html,,,1/10/2025
Isaac,"Rahi, B., Sagmanli, D., Oppong, F., Pekaslan, D., & Triguero, I.  Generalising stock detection in retail cabinets with minimal data using a DenseNet and vision transformer ensemble. Machine Learning and Knowledge Extraction (MAKE). 2025, 7(3), 66; https://doi.org/10.3390/make7030066",Revista,A3.1:IAPG Fiable para instalaciones críticas,Publicado,https://www.mdpi.com/2504-4990/7/3/66,,,3/07/2025
Nuria,"Bello-García, B., Aguilera-Martos, I., Rodríguez-Barroso, N., Herrera, F., & Luengo, J. (2026). RADAR: Robust anomaly detection and recognition. A unified and reproducible framework across tabular, time-series, and federated data. Neurocomputing.",Revista,A2.4: Proporcionando robustez a modelos de deep learning,Enviado,,,14/01/2026,
Coral,"Drewes, C., López, C., Martinez-Manjón, J. E., Okeke, N., Jebaraj, B., Bens, S., Brändl, B., Dyer, M. J. S., Fischer, A., Glaser, S., Hillebrecht, S., . . . Siebert, R. (2026). Chronic lymphocytic leukemia with IGH:BCL3-translocation is characterized by a homogenous and distinct genetic and epigenetic landscape. Blood. ",Revista,"A2.1: Explicabilidad para la mejora de la reproducibilidad, auditoría, certificación y gobernanza de la IA",Enviado,proximas semanas se envia,,,
María,"Cribillés Pérez, M., Suárez Díaz, J. L., Maldonado Vicente, G., Martín-Rodríguez, J. L., & Herrera Triguero, F. Prediction of complications in lung biopsies with artificial intelligence: A preliminary study and early findings. 2026 IEEE Conference on Artificial Intelligence (CAI)",Congreso,A2.4: Proporcionando robustez a modelos de deep learning,Enviado,,Aceptado CAI,30/11/2025,23/01/2026
Nacho,"Moya-Mota, C., Aguilera-Martos, I., García-Gil, D., & Luengo, J. (2026). WinStat: A family of trainable positional encodings for transformers in time series forecasting. Machine Learning and Knowledge Extraction (MAKE), 2025, 8 (1), 78. https://doi.org/10.3390/make8010007",Revista,A2.4: Proporcionando robustez a modelos de deep learning,Publicado,https://doi.org/10.3390/make8010007,,9/10/2025,25/12/2025
Natalia,"Méndez, D., Bontempo, G., Ficarra, E. et al. CUBIC: Unsupervised Detection of Conceptual Biases via Vision-Language Embeddings. Inf Syst Front (2025). https://doi.org/10.1007/s10796-025-10669-0",Revista,A2.2: Hacia el desarrollo de modelos generativos explicables,Publicado,https://doi.org/10.1007/s10796-025-10669-0,,,
Isaac,"D. Cerezo and I. Triguero, ""From Traditional Methods to GPT-based Models for 2D Video Game Level Procedural Content Generation: An Empirical Study*,"" 2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC), Vienna, Austria, 2025, pp. 3260-3267, doi: 10.1109/SMC58881.2025.11343196. ",Congreso,A3.2: Algoritmos de IAPG para aprender a explicar,Publicado,https://www.ieeesmc2025.org/files/content/SMC25-Handbook.pdf,,,7/10/2025
Natalia,"D. Méndez, G. Bontempo, E. Ficarra, R. Confalonieri and N. Díaz-Rodríguez, ""CUBIC: Concept Embeddings for Unsupervised Bias Identification using VLMs,"" 2025 International Joint Conference on Neural Networks (IJCNN), Rome, Italy, 2025, pp. 1-8, doi: 10.1109/IJCNN64981.2025.11228477. ",Congreso,A2.2: Hacia el desarrollo de modelos generativos explicables,Publicado,To appear in IJCNN 2025 y Arxiv,,,
